InChIKey,odorant,Or10a,Or19a,Or22a,Or23a,Or2a,Or33b,Or35a,Or43a,Or43b,Or47a,Or47b,Or49b,Or59b,Or65a,Or67a,Or67c,Or7a,Or82a,Or85a,Or85b,Or85f,Or88a,Or98a,Or9a
SFR,sfr,14.0,29.0,4.0,9.0,8.0,25.0,17.0,21.0,2.0,1.0,47.0,8.0,2.0,18.0,11.0,6.0,17.0,16.0,14.0,13.0,7.0,26.0,12.0,3.0
VHUUQVKOLVNVRT-UHFFFAOYSA-N,ammonium hydroxide,24.0,30.0,17.0,7.0,11.0,16.0,21.0,20.0,5.0,17.0,39.0,12.0,7.0,21.0,27.0,16.0,-4.0,18.0,8.0,28.0,24.0,26.0,36.0,35.0
KIDHWZJUCRJVML-UHFFFAOYSA-N,putrescine,-12.0,20.0,16.0,7.0,14.0,21.0,17.0,4.0,3.0,-8.0,22.0,1.0,4.0,16.0,7.0,12.0,-19.0,12.0,1.0,37.0,15.0,20.0,29.0,29.0
VHRGRCVQAFMJIZ-UHFFFAOYSA-N,cadaverine,-3.0,24.0,17.0,2.0,9.0,18.0,29.0,11.0,14.0,-7.0,31.0,6.0,9.0,17.0,3.0,20.0,-24.0,14.0,3.0,42.0,23.0,26.0,33.0,24.0
YEJRWHAVMIAJKC-UHFFFAOYSA-N,gamma-butyrolactone,8.0,22.0,47.0,13.0,17.0,32.0,98.0,9.0,21.0,7.0,56.0,7.0,18.0,24.0,136.0,26.0,51.0,9.0,6.0,60.0,30.0,28.0,41.0,56.0
JBFHTYHTHYHCDJ-UHFFFAOYSA-N,gamma-hexalactone,32.0,27.0,144.0,21.0,23.0,50.0,188.0,29.0,32.0,25.0,11.0,7.0,20.0,36.0,58.0,46.0,-22.0,21.0,11.0,66.0,61.0,29.0,36.0,121.0
IPBFYZQJXZJBFQ-UHFFFAOYSA-N,gamma-octalactone,32.0,31.0,45.0,12.0,15.0,35.0,53.0,16.0,29.0,18.0,28.0,5.0,2.0,38.0,36.0,22.0,-5.0,36.0,1.0,187.0,38.0,10.0,113.0,29.0
IFYYFLINQYPWGJ-UHFFFAOYSA-N,gamma-decalactone,12.0,7.0,20.0,6.0,7.0,42.0,14.0,3.0,4.0,-2.0,44.0,8.0,-2.0,16.0,18.0,7.0,5.0,8.0,3.0,26.0,2.0,33.0,21.0,2.0
GHBSPIPJMLAMEP-UHFFFAOYSA-N,delta-decalactone,3.0,6.0,15.0,7.0,8.0,40.0,7.0,5.0,4.0,1.0,43.0,4.0,4.0,13.0,13.0,6.0,2.0,11.0,15.0,37.0,6.0,25.0,20.0,1.0
BDAGIHXWWSANSR-UHFFFAOYSA-N,methanoic acid,45.0,29.0,37.0,1.0,6.0,19.0,22.0,12.0,10.0,0.0,27.0,11.0,27.0,20.0,16.0,18.0,3.0,8.0,5.0,27.0,14.0,26.0,16.0,17.0
QTBSBXVTEAMEQO-UHFFFAOYSA-N,acetic acid,32.0,32.0,36.0,8.0,13.0,23.0,16.0,21.0,12.0,3.0,26.0,13.0,26.0,22.0,6.0,12.0,6.0,26.0,15.0,40.0,18.0,21.0,31.0,12.0
XBDQKXXYIPTUBI-UHFFFAOYSA-N,propanoic acid,50.0,34.0,41.0,6.0,9.0,16.0,19.0,16.0,9.0,8.0,25.0,17.0,26.0,26.0,60.0,24.0,22.0,23.0,8.0,54.0,22.0,19.0,23.0,23.0
FERIUCNNQQJTOY-UHFFFAOYSA-N,butyric acid,47.0,39.0,121.0,6.0,19.0,14.0,29.0,14.0,22.0,18.0,20.0,16.0,36.0,27.0,143.0,22.0,59.0,23.0,4.0,52.0,28.0,24.0,23.0,141.0
NQPDZGIKBAWPEJ-UHFFFAOYSA-N,pentanoic acid,36.0,59.0,49.0,11.0,15.0,14.0,53.0,16.0,9.0,15.0,25.0,10.0,26.0,20.0,218.0,17.0,39.0,41.0,11.0,43.0,18.0,19.0,3.0,22.0
FUZZWVXGSFPDMH-UHFFFAOYSA-N,hexanoic acid,33.0,59.0,121.0,12.0,16.0,47.0,24.0,26.0,9.0,10.0,23.0,15.0,31.0,25.0,31.0,18.0,20.0,35.0,3.0,53.0,28.0,21.0,25.0,25.0
MNWFXJYAOYHMED-UHFFFAOYSA-N,heptanoic acid,13.0,10.0,16.0,7.0,11.0,21.0,28.0,10.0,22.0,2.0,40.0,4.0,18.0,17.0,12.0,3.0,11.0,11.0,15.0,50.0,12.0,23.0,10.0,6.0
WWZKQHOCKIZLMA-UHFFFAOYSA-N,octanoic acid,13.0,3.0,4.0,11.0,6.0,12.0,13.0,16.0,12.0,6.0,36.0,7.0,7.0,17.0,2.0,8.0,10.0,9.0,9.0,81.0,14.0,27.0,7.0,1.0
FBUKVWPVBMHYJY-UHFFFAOYSA-N,nonanoic acid,16.0,10.0,11.0,5.0,6.0,23.0,9.0,6.0,8.0,-3.0,43.0,8.0,9.0,12.0,7.0,11.0,7.0,9.0,15.0,56.0,12.0,23.0,4.0,-3.0
OYHQOLUKZRVURQ-HZJYTTRNSA-N,linoleic acid,18.0,-1.0,7.0,14.0,1.0,14.0,55.0,7.0,36.0,23.0,27.0,7.0,11.0,26.0,10.0,2.0,153.0,9.0,16.0,71.0,14.0,17.0,7.0,6.0
KQNPFQTWMSNSAP-UHFFFAOYSA-N,isobutyric acid,43.0,36.0,38.0,6.0,6.0,16.0,18.0,16.0,12.0,15.0,28.0,12.0,32.0,20.0,10.0,19.0,25.0,27.0,7.0,48.0,21.0,22.0,22.0,22.0
GWYFCOCPABKNJV-UHFFFAOYSA-N,isopentanoic acid,38.0,50.0,45.0,5.0,12.0,15.0,22.0,9.0,11.0,12.0,32.0,14.0,30.0,21.0,57.0,21.0,13.0,40.0,15.0,33.0,21.0,23.0,17.0,26.0
LCTONWCANYUPML-UHFFFAOYSA-N,pyruvic acid,37.0,28.0,39.0,8.0,11.0,13.0,22.0,20.0,11.0,17.0,27.0,9.0,22.0,26.0,16.0,17.0,72.0,8.0,5.0,36.0,17.0,29.0,13.0,25.0
OBETXYAYXDNJHR-UHFFFAOYSA-N,2-ethylhexanoic acid,19.0,7.0,23.0,7.0,11.0,10.0,9.0,-4.0,47.0,22.0,31.0,7.0,23.0,21.0,7.0,14.0,18.0,10.0,13.0,112.0,23.0,14.0,16.0,7.0
